File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0018-0001_Dwayne_A__Ratleff___Citizen_Petition_.pdf,2010-12-22,Not Mentioned,Dwayne ARatl:7f (individual petitioner),Self-filed by Dwayne ARatl:7f,"[""21 CFR 5.10"", ""21 U.S.C. § 321(m)"", ""21 CFR 101.1"", ""21 CFR 25.30""]",Regulation of electronic versions of ingredient lists and nutrition facts labels,Amend SEC. 201 to include electronic versions of labeling and create a new regulation requiring manufacturers to provide electronic versions of ingredient lists and nutrition facts labels to online retailers,"To keep pace with emerging technology and maintain FDA authority over customary conditions under which labels are displayed, presented, shown, or examined",Complete,79.6%,Identity of Submitting Entity
FDA-2011-P-0022-0008_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,2011-01-07,Not Mentioned,Waxler Regulatory Consultancy LLC,Self-filed by Waxler Regulatory Consultancy LLC,"[""21 CFR 515(e)(l)"", ""21 CFR 814.46(a)"", ""Section 515(e)(l) of the FD&C Act"", ""Section 515(e)(l)(A) of the FD&C Act""]",PMA approval and labeling for LASIK devices,"Withdraw premarket approval (PMA) for all laser-assisted in situ keratomileusis (LASIK) excimer lasers, and issue a Public Health Advisory with a voluntary recall of these LASIK devices.","Cited data from several approved PMA applications, published scientific literature, and offered own analyses suggesting higher adverse event rates and safety concerns.",Complete,96.2%,None
FDA-2011-P-0022-0009_Petition_for_Reconsideration_from_Waxler_Consultan.pdf,2014-07-22,Not Mentioned,"Morris Waxler, Ph.D.","Self-filed by Morris Waxler, Ph.D.","[""21 CFR 10.33"", ""21 U.S.C. § 355""]",Decision to deny the petition for withdrawal of PMAs for LASIK excimer laser devices,"Reconsideration and initiation of an action plan including cessation of promotion, investigation of industry regulation, epidemiological study, quality system review, and regulatory actions such as public health warnings or PMA withdrawals.","The petition argues that FDA's decision underestimates the risks associated with LASIK devices by conflating data used to legally support PMAs with promotional information from the LASIK industry. It requests a thorough investigation into adverse event rates, data withholding practices, and quality systems of manufacturers.",Complete,86.7%,None
FDA-2011-P-0022-0011_Reconsideration_Petition_Interim_Response.pdf,2014-07-22,Not Mentioned,Waxler Regulatory Consultancy LLC,Self-filed by Waxler Regulatory Consultancy LLC,"[""Not Mentioned""]",Denial of Citizen Petition regarding LASIK excimer laser devices,"Reconsider decision to deny petition and withdraw PMA approvals for all LASIK excimer laser devices, issue public advisory with voluntary recall",Not explicitly detailed in the provided document,Complete,88.2%,None
FDA-2011-P-0031-0004_Petition_Approval_Response.pdf,2011-01-12,Not Mentioned,"Samson Medical Technologies, L.L.C.","Self-filed by Samson Medical Technologies, L.L.C.","[""21 CFR 314.94(a)(3)(iii)"", ""Section 505 of the FD&C Act""]",Petition for ANDA approval,Approval to file an ANDA for Piperacillin and Tazobactam for Injection in different strengths,Change in strength does not pose questions of safety or effectiveness,Complete,95.2%,None
FDA-2011-P-0032-0001_Anika_Therapeutics__Inc____Petition_for_Reconsider.pdf,2011-01-10,Not Mentioned,"Anika Therapeutics, Inc.","Self-filed by Anika Therapeutics, Inc. through regulatory affairs department","[""21 CFR 10.33"", ""21 U.S.C. § 331(j)"", ""5 U.S.C. § 552""]",Denial of approval for Premarket Approval Application (PMA) p090031,Reconsideration and review by an independent advisory committee,Data supports the need for reconsideration,Complete,92.4%,None
FDA-2011-P-0045-0001_Purdue_Pharma_L_P___Purdue____Citizen_petition.pdf,2011-01-14,Not Mentioned,Purdue Pharma L.P.,"Self-filed by Purdue Pharma L.P. through Philip C. Strassburger, V.P., Intellectual Property Counsel","[""21 CFR 10.30"", ""21 CFR 314.50(i)"", ""21 CFR 314.52"", ""21 CFR 314.54"", ""21 U.S.C. § 355(b)(2)(A)"", ""21 U.S.C. § 355(b)(3)"", ""Section 505 of the FD&C Act""]",King Pharmaceuticals' resubmission of NDA for Remoxy,Refuse to approve King's NDA until it includes appropriate reference and patent certifications to OxyContin (NDA #22-272),To ensure compliance with Hatch-Waxman amendments and prevent circumvention of patent protections,Complete,78.5%,Date of Petition
FDA-2011-P-0045-0006_FDA_CDER_to_Perdue_Pharma_L_P____Petition_Denial.pdf,2011-01-14,Not Mentioned,Purdue Pharma L.P.,Filed by Purdue Pharma L.P.; no separate representation mentioned,"[""21 U.S.C. § 355(b)(2)"", ""21 U.S.C. § 355(b)(4)(A)"", ""Section 505 of the FD&C Act"", ""Section 505(q) of the FD&C Act""]","King Pharmaceuticals, Inc.'s new drug application (NDA) for Remoxy",Refuse to approve King's NDA until King certifies patents listed in Orange Book and complies with notice provisions; require withdrawal and resubmission if reference is incorrect,"King's application relies on findings of safety and efficacy for OxyContin, and must comply with patent certification requirements",Complete,91.5%,None
FDA-2011-P-0047-0001_InvaGen_Pharmaceuticals__Inc____Citizen_Petition_.pdf,2011-01-14,Not Mentioned,InvaGen Pharmaceuticals Inc.,Self-filed by InvaGen Pharmaceuticals Inc.,"[""21 CFR 314.93"", ""21 CFR 10.30"", ""21 U.S.C. § 355""]","Review of ANDA # 200791 for Meclizine Hydrochloride Chewable Tablets, 25 mg",Confirm that Pfizer's Antivert chewable tablets 25 mg were not discontinued for safety and efficacy reasons; Relist InvaGen's drug product as RLD in place of the discontinued Pfizer product.,"The discontinuation status of Pfizer's Antivert Chewable Tablets, 25 mg does not reflect a withdrawal due to safety or efficacy issues. The petitioner believes that its ANDA # 200791 should be eligible for approval upon completion of the review process.",Complete,93.4%,None
FDA-2011-P-0055-0013_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,2011-01-19,Not Mentioned,Joseph M. Carik and Amber Britton (individual petitioners),Self-filed by Joseph M. Carik and Amber Britton,"[""21 U.S.C. § 355""]",Distribution of Fabrazyme during shortage period,Require Genzyme Corporation to allocate full doses of Fabrazyme to U.S. citizens under the November 2010 Consent Decree,To ensure equitable distribution and availability of the only FDA-approved therapy for treating Fabry disease,PDF Read Error,0.0%,PDF text extraction failed
