File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0022-0004_FDA_Interim_Response_to_Waxler_Regulatory_Consulta.pdf,2011-08-31,Not Mentioned,CDRH,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0022-0013_Reconsideration_Denial_letter_from_the_FDA_to_Waxl.pdf,2016-10-02,Not Mentioned,Not Mentioned,denied,"[""21 CFR 10.33(d)"", ""Section 515(e)(l)(A) of the FD&C Act"", ""Section 515(e)(l)(B) of the FD&C Act"", ""Section 515(e)(l)(C) of the FD&C Act"", ""Section 515(e)(l)(F) of the FD&C Act""]","The FDA determined that the reconsideration petition did not demonstrate relevant information or views contained in the administrative record were not previously considered, and that the petitioner's position was frivolous. The agency concluded that granting reconsideration would not be in the public interest or justice.",Complete,98.8%,None
FDA-2011-P-0025-0003_FDA_CDER_Interim_Response_to_Olsson_Frank_Weeda_Te.pdf,2011-07-31,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2)""]",FDA has not yet resolved the issues due to other Agency priorities and resource constraints.,Incomplete,35.7%,Date of Response; Responding FDA Center; Response to Petition; Cited Statutes or Regulations
FDA-2011-P-0032-0004_Anika_Therapeutics__Inc___Anika____Withdrawal.pdf,Not Mentioned,2011-03-25,Not Mentioned,withdrawn,"[""18 U.S.C. § 1905"", ""18 U.S.C. § 331(j)"", ""21 CFR 10.33"", ""21 U.S.C. § 331(j)"", ""21 U.S.C. § 552"", ""5 U.S.C. § 552""]","Petition for Reconsideration withdrawn by Anika Therapeutics, Inc.",Complete,98.1%,None
FDA-2011-P-0047-0012_FDA_CDER_Interim_Response_to_InvaGen_Pharmaceutica.pdf,2011-07-20,Not Mentioned,CDER,other: interim response provided due to other priorities,"[""21 CFR 1O.30(e)(2)""]",The issues raised in the petition have not yet been resolved due to the need to address other Agency priorities.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0047-0013_Response_Letter_from_FDA_CDER.pdf,2019-01-19,Not Mentioned,CDER,partially approved,"[""21 CFR 314.3(b)"", ""21 CFR 314.94(a)(3)"", ""21 U.S.C. § 355"", ""Section 505(c) of the FD&C Act"", ""Section 505(j) of the FD&C Act""]","The petitions are granted to the extent that FDA has determined that Antivert (meclizine hydrochloride) chewable tablets, 25 mg, and tablets, 12.5 mg, 25 mg, and 50 mg were not withdrawn from sale for reasons of safety or effectiveness. However, they are denied to the extent that an additional RLD is requested.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0055-0012_FDA_CDER_Interim_Response_to_C__Allen_Black__Ph_D_.pdf,2011-07-15,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 1O.30(e)(2)""]",Complex issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0059-0003_Interim_Response_Letter_from_FDA_CDER_to_Hospira_I.pdf,2011-07-19,Not Mentioned,CDER,other: interim response provided due to other Agency priorities,"[""21 CFR 10.30(e)(2)""]",FDA has been unable to reach a decision on the petition due to the need to address other Agency priorities.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0064-0034_Interim_Response_to_Barbara_L__Maw__P_C___Letter.pdf,2011-07-26,"January 28, 2011",CDER,other: interim response,"[""21 CFR 10.30(e)(2)(iii)""]","The petition raises extensive issues that are being analyzed carefully, and a comprehensive response is expected as soon as practicable.",Incomplete,46.6%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0081-0011_Agency_Response_to_Armenpharm_Ltd.pdf,2012-07-13,Not Mentioned,CDER,approved,"[""21 CFR 314.93"", ""21 CFR 314.161"", ""21 CFR 314.162""]","The FDA determined that Chloromycetin (Chloramphenicol) Capsules, 250 mg was withdrawn from sale due to safety concerns and will remove it from the list of drug products published in the Orange Book.",Complete,80.7%,Responding FDA Center
