file_in_zip,doc_id,ext,num_pages,docket_id,date_guess,doc_type_guess,title_snippet
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0018-0001_Dwayne_A__Ratleff___Citizen_Petition_.pdf,cdff5a649dab,pdf,3,FDA-2011-P-0018,2011,petition,"December 22, 2010 20\\ JAN -3 A !O: \W Division of Dockets Management Food and Drug Administration Department of Health and Human Services 5630 Fishers Lane, rm. 1061 Rockville, MD 20852 Citizen Petition The undersigned submits this petition under the relevant statutory sections of the Federal Food, Drug, and Cosmetic Act or the Public Health Service Act or any other statutory provision for which authority has been delegated to the Commissioner of Food and Drugs under (21 CFR 5.10) to request t…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0018-0002_Acknowledgement_Letter_to_Dawyne_Ratleff.pdf,d1ae20eb9fea,pdf,1,FDA-2011-P-0018,2011,petition,"(4 DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service '<>~,~ Food and Drug Administration Rockville MD 20857 January 3, 2011 flltCOPy Dwayne A. Ratleff Dear Mr. Ratlett: Your petition to the Food and Drug Administration requesting to issue new rules to regulate the use of electronic versions of ingredient list and nutrition facts labels, was received by this office on 01/03/2011. It was assigned docket number FDA-2011-P-0018-0001/CP, and it was filed on 01103/2011. Please refer to this…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0001_Waxler_Regulatory_Consultancy_LLC___Citizen_Petiti.pdf,96000d1f58c5,pdf,33,FDA-2011-P-0022,2011,petition,".Wa{{er Cf\ggu{atory ConsuftqYfl {-;~f- 1920 ;4.rfington (J>(ace 608-219-7547 7 A9 :18 !Madison, WI 53 726-4002 mwa~(er@cliarter. net January 6, 2011 Division of Dockets Management Food and Drug Administration Department of Health and Human Services 5630 Fishers Lane, rm. 1061 Rockville, MD 20852 Dear Sir or Madam: Waxler Regulatory Consultancy LLC submits the attached Citizen Petition under Sections 201,301,510,513,519, and 520 of the Food Drug and Cosmetic Act and 21 Code of Federal Regulatio…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0002_Acknowledgement_Letter_to_Waxler_Regulatory_Consul.pdf,95b105dc93aa,pdf,1,FDA-2011-P-0022,2011,petition,"(.~ DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service ,::z~ Food and Drug Administration Rockville MD 20857 January 7, 2011 Morris Waxler, Ph.D. Waxler Regulatory Consultancy LLC 1920 Arlington Place Madison, WI 53726-4002 Dear Dr. Waxler: Your petition to the Food and Drug Administration requesting to withdraw FDA approval (PMA) for all LASIK devices and issue a Public Health Advisory with a voluntary recall of LASIK devices in an effort to stop the epidemic of permanent eye injury c…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0004_FDA_Interim_Response_to_Waxler_Regulatory_Consulta.pdf,645d1853598d,pdf,1,FDA-2011-P-0022,2011,response/decision,
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0005_Waxler_Regulatory_Consultancy_LLC__Letter.pdf,af030745e172,pdf,4,FDA-2011-P-0022,2011,other,"Waxier Regulatp isry Conu1tancy LLC 1920 Arlington Place 608-219-7547 Madison, WI 53726-4002 mwaxler@charter.net January 16, 2012 Margaret A. Hamburg, M.D. Commissioner Food and Drug Administration WO 2200 10903 New Hampshire Avenue Silver Spring, MD 20993-0002 Jeffrey E. Shuren, M.D., J.D. Director, Center for Devices and Radiological Health Food and Drug Administration WO 66, Room 5442 10903 New Hampshire Avenue Silver Spring, MD 20993-0002 Division of Dockets Management Food and Drug Adminis…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0006_Waxler_Regulatory_Consultancy_LLC_Letter.pdf,c90a9d73a90a,pdf,1,FDA-2011-P-0022,2011,other,
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0008_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,fb7304eeadea,pdf,8,FDA-2011-P-0022,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES JUN 2 3 2014 Morris Waxler, PhD President Waxler Regulatory Consultancy LLC 1920 Arlington Place Madison, WI 53726-4002 Re: Citizen Petition- Docket Number FDA-2011-P-0022 Dear Dr. Waxler, Public Health Service Food and Drug Administration 10903 New Hampshire A venue Silver Spring, MD 20993 This letter responds to the above referenced citizen petition that you submitted to the Food and Drug Administration (FDA or Agency) and that was filed on January 7, 201…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0009_Petition_for_Reconsideration_from_Waxler_Consultan.pdf,6186f49a2d79,pdf,8,FDA-2011-P-0022,2011,petition,"Nancy K. Slade, JD ' July 22, 2014 Waxler Regulatory Consultar')~Yu l ~LJ1 , 3w 1920 Arlington Place Madison, WI 53726-4002 July 22, 2014 Nancy K. Slade, J.D. Division ofbockets Management Food and Drug Administration Department of Health and Human Services, Rm. 1-23 5630 Fishers Lane, rm. 1061 Rockville, MD 20852. 608-219-7547 mwaxler@ charter. net Re: Petition for Reconsideration [Docket No. FDA-20 11-P-0022] Dear Dr. Slade: In accordance with 21 CFR 10.33 the undersigned submits this petitio…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0010_Acknowledgement_Letter_from_FDA_DDM_to_Waxler_Cons.pdf,a5bc13f8b6db,pdf,1,FDA-2011-P-0022,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 September 4, 2014 Morris Waxler, President Waxler Regu latory Consultancy, LLC 1920 Arlington Place Madison, W I 53726- 4002 Dear Mr. Waxler : Your Petition for Reconsideration regarding the A gency's decision to deny the request of the petition for the withdrawal of PMAs for all LASIK excirner laser devices and for the issuance of a public health advisory with a v oluntary recall of the …"
